date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:51:23	165/165	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/comment-black.png	C:/My%20Web%20Sites/Calculator/ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/comment-black.png	(from https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/jquery.mobile.min.css)
21:51:23	171/171	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/delete-black.png	C:/My%20Web%20Sites/Calculator/ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/delete-black.png	(from https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/jquery.mobile.min.css)
21:51:24	163/163	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/edit-black.png	C:/My%20Web%20Sites/Calculator/ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/edit-black.png	(from https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/jquery.mobile.min.css)
21:51:25	249/249	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/eye-black.png	C:/My%20Web%20Sites/Calculator/ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/eye-black.png	(from https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/jquery.mobile.min.css)
21:51:25	299/299	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/forbidden-black.png	C:/My%20Web%20Sites/Calculator/ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/forbidden-black.png	(from https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/jquery.mobile.min.css)
21:51:26	233/233	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/forward-black.png	C:/My%20Web%20Sites/Calculator/ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/forward-black.png	(from https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/jquery.mobile.min.css)
21:51:27	318/318	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/gear-black.png	C:/My%20Web%20Sites/Calculator/ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/gear-black.png	(from https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/jquery.mobile.min.css)
21:51:29	160/160	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/grid-black.png	C:/My%20Web%20Sites/Calculator/ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/grid-black.png	(from https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/jquery.mobile.min.css)
21:51:45	242/242	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/heart-black.png	C:/My%20Web%20Sites/Calculator/ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/heart-black.png	(from https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/jquery.mobile.min.css)
21:52:09	150/150	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/home-black.png	C:/My%20Web%20Sites/Calculator/ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/home-black.png	(from https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/jquery.mobile.min.css)
21:52:09	250/250	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/info-black.png	C:/My%20Web%20Sites/Calculator/ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/info-black.png	(from https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/jquery.mobile.min.css)
21:52:10	245/245	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/location-black.png	C:/My%20Web%20Sites/Calculator/ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/location-black.png	(from https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/jquery.mobile.min.css)
21:52:24	204/204	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/lock-black.png	C:/My%20Web%20Sites/Calculator/ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/lock-black.png	(from https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/jquery.mobile.min.css)
21:52:25	226/226	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/mail-black.png	C:/My%20Web%20Sites/Calculator/ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/mail-black.png	(from https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/jquery.mobile.min.css)
21:52:39	116/116	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/minus-black.png	C:/My%20Web%20Sites/Calculator/ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/minus-black.png	(from https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/jquery.mobile.min.css)
